brand_name,product_name,product_type,post_type,platform,region,gender,age_range,social_media_mentions,review_rating,price_usd,availability_status,followers,likes,comments,shares,product_category,post_day_of_week,is_weekend,engagement_rate,comment_to_like_ratio,share_to_like_ratio,is_luxury_handbag,high_price_tier,premium_engagement,is_western_market,young_demographic,high_rating,mentions_per_follower
Gucci,Gucci Classic Handbag,Handbag,Live,Instagram,Asia,Female,18-24,668.0,3.3,2589.14,In Stock,5399912.0,468046.0,21070.0,4812.0,Eyewear,Tuesday,0,9.146963876448357,0.045016846598739016,0.010281018786574853,1,0,0,0,1,0,123.70571964876466
Louis Vuitton,Louis Vuitton Classic Handbag,Handbag,Reel,TikTok,Europe,Non-binary,45-54,2575.0,3.3,1687.72,In Stock,3389811.0,855505.0,2423.0,14553.0,Eyewear,Monday,0,25.738337624133028,0.0028322419714180845,0.01701098531161675,1,0,0,1,0,0,759.629371667034
Louis Vuitton,Louis Vuitton Classic Shoes,Shoes,Story,Twitter,Asia,Non-binary,55+,3116.0,2.8,557.76,In Stock,774047.0,457086.0,28367.0,12777.0,Fragrances,Wednesday,0,64.36689244968329,0.06206039550457571,0.02795310301977523,0,0,1,0,0,0,4025.595344985511
Gucci,Gucci Chic Watch,Watch,Live,YouTube,South America,Non-binary,45-54,3905.0,4.5,1323.05,In Stock,3187439.0,108158.0,49391.7,12704.0,Eyewear,Thursday,0,5.341394768652828,0.45665825312734026,0.11745670725505968,0,0,0,0,0,1,1225.1214846778244
Gucci,Gucci Bold Watch,Watch,Story,Facebook,Europe,Non-binary,35-44,3581.0,2.7,1968.56,Out of Stock,2467302.0,446548.0,44797.0,6107.0,Apparel,Sunday,1,20.161779952352813,0.10031821815746984,0.013675990764731307,0,0,0,1,0,0,1451.3829275864891
Louis Vuitton,Louis Vuitton Bold Handbag,Handbag,Story,Instagram,Middle East,Male,25-34,4296.0,3.6,3339.19,Out of Stock,4895898.0,173738.0,35695.0,14471.0,Apparel,Saturday,1,4.573297891418489,0.2054518559448368,0.08329160407277583,1,0,0,0,1,0,877.4692610017611
Louis Vuitton,Louis Vuitton Bold Belt,Belt,Image,YouTube,Middle East,Non-binary,18-24,4943.0,4.5,1327.73,Out of Stock,1104332.0,513912.0,42168.0,13641.0,Apparel,Saturday,1,51.58964876504529,0.08205279882003375,0.02654340326086322,0,0,1,0,1,1,4476.009026271085
Gucci,Gucci Vintage Handbag,Handbag,Reel,Twitter,Asia,Female,55+,4970.0,4.2,2905.54,In Stock,8237858.0,990545.2000000001,8156.0,13060.0,Fragrances,Saturday,1,12.281848024085875,0.008233841086867023,0.013184644996871423,1,0,0,0,0,1,603.3121716834644
Louis Vuitton,Louis Vuitton Modern Shoes,Shoes,Live,Instagram,North America,Non-binary,45-54,2410.0,2.8,3579.21,Out of Stock,30460.0,366547.0,20134.0,8785.0,Luxury Accessories,Monday,0,1298.3125410374262,0.05492868601110905,0.02396684745244825,0,0,1,1,0,0,79120.15758371634
Gucci,Gucci Vintage Perfume,Perfume,Reel,Twitter,North America,Female,45-54,781.0,4.5,3308.01,Pre-order,2439855.0,706362.0,41770.0,16882.0,Apparel,Tuesday,0,31.354896090136503,0.05913390140763319,0.023899892831306283,0,0,1,1,0,1,320.100989607989
Louis Vuitton,Louis Vuitton Classic Belt,Belt,Reel,TikTok,Middle East,Female,25-34,256.0,2.7,1131.79,Out of Stock,5264999.0,42227.0,9744.0,15616.0,Eyewear,Thursday,0,1.2837039475221173,0.23074737141233304,0.36980202709102966,0,0,0,0,1,0,48.62299119145131
Louis Vuitton,Louis Vuitton Elegant Shoes,Shoes,Image,Instagram,South America,Non-binary,45-54,274.0,2.2,2383.14,Pre-order,2667440.0,153868.0,1185.0,10274.0,Footwear,Friday,0,6.197965090123865,0.0077013563485822355,0.06677108449395265,0,0,0,0,0,0,102.72021113876976
Louis Vuitton,Louis Vuitton Vintage Sunglasses,Sunglasses,Live,Instagram,North America,Male,25-34,1617.0,1.4,4516.24,Pre-order,6228577.0,938967.0,46505.0,19818.7,Luxury Accessories,Thursday,0,16.139973865619705,0.04952777943444292,0.021106896081655606,0,1,0,1,1,0,259.6098595232908
Louis Vuitton,Louis Vuitton Elegant Handbag,Handbag,Story,TikTok,North America,Male,18-24,3195.0,4.3,649.33,In Stock,8301648.0,107258.0,16174.0,15795.0,Fragrances,Saturday,1,1.6771007395158168,0.15079387277524497,0.14726036975918105,1,0,0,1,1,1,384.8633427965146
Louis Vuitton,Louis Vuitton Bold Belt,Belt,Live,TikTok,Asia,Non-binary,55+,3986.0,1.5,2640.08,Out of Stock,915227.0,884.0,1484.0,4127.0,Fragrances,Sunday,1,0.7096600078450482,1.6768361581920903,4.663276836158192,0,0,0,0,0,0,4355.203681709565
Gucci,Gucci Elegant Handbag,Handbag,Image,YouTube,Europe,Female,45-54,3269.0,4.5,624.22,In Stock,6481772.0,161472.0,44886.0,14930.0,Luxury Accessories,Wednesday,0,3.4140046888412616,0.27797836170753004,0.09246127835613384,1,0,0,1,0,1,504.33739415702985
Gucci,Gucci Modern Shoes,Shoes,Video,TikTok,Europe,Non-binary,55+,4421.0,3.4,1219.32,Out of Stock,1930549.0,645120.0,22885.0,13513.0,Apparel,Saturday,1,35.30177167220309,0.03547396534913606,0.020946458106308737,0,0,1,1,0,0,2290.022164679581
Gucci,Gucci Chic Shoes,Shoes,Reel,Instagram,Europe,Male,55+,238.0,3.5,1801.95,In Stock,9181191.0,921167.0,35836.0,3269.0,Footwear,Friday,0,10.459122351337642,0.03890278429124763,0.003548755493026245,0,0,0,1,0,0,25.92256276990643
Louis Vuitton,Louis Vuitton Classic Perfume,Perfume,Image,YouTube,Middle East,Male,18-24,3600.0,2.1,3910.14,Pre-order,213791.0,14046.0,27233.0,2994.0,Eyewear,Monday,0,20.708542455014477,1.9387057734747632,0.2131415960703353,0,1,0,0,1,0,16838.87535022522
Gucci,Gucci Chic Belt,Belt,Reel,YouTube,Europe,Female,55+,1626.0,1.9,2745.97,Out of Stock,677932.0,62043.0,3334.0,8851.0,Eyewear,Tuesday,0,10.949180743791413,0.05373605828121978,0.14265682418928502,0,0,0,1,0,0,2398.4706430733468
Louis Vuitton,Louis Vuitton Bold Handbag,Handbag,Video,TikTok,Middle East,Non-binary,35-44,2117.0,1.8,495.69,Out of Stock,2303477.0,40248.0,9791.0,19618.0,Footwear,Tuesday,0,3.023993727742886,0.24326070212924544,0.4874158364182961,1,0,0,0,0,0,919.045425676054
Louis Vuitton,Louis Vuitton Vintage Watch,Watch,Story,Twitter,Europe,Non-binary,18-24,4786.0,2.3,3221.83,Out of Stock,6598618.0,931842.0,26273.0,7133.0,Luxury Accessories,Monday,0,14.62803271836618,0.028194663693347485,0.007654722952256979,0,0,0,1,1,0,725.3033892854534
Louis Vuitton,Louis Vuitton Vintage Belt,Belt,Image,TikTok,Middle East,Male,45-54,3570.0,2.6,2527.61,In Stock,4571715.0,219441.0,18958.0,13267.0,Eyewear,Tuesday,0,5.504848836815068,0.08639184841552665,0.06045788864483554,0,0,0,0,0,0,780.8885724503824
Louis Vuitton,Louis Vuitton Chic Handbag,Handbag,Reel,YouTube,Middle East,Female,45-54,606.0,4.7,1239.83,Pre-order,8086428.0,848027.0,27915.0,3219.0,Footwear,Sunday,1,10.872056240406765,0.03291754517539515,0.0037958652308650188,1,0,0,0,0,1,74.94038158751924
Gucci,Gucci Bold Watch,Watch,Image,Instagram,Middle East,Male,25-34,3760.0,2.3,4741.69,In Stock,2859453.0,552817.0,41009.0,13789.0,Luxury Accessories,Tuesday,0,21.249343843035714,0.0741817379318329,0.024943109667196074,0,1,0,0,1,0,1314.9368078440177
Louis Vuitton,Louis Vuitton Elegant Watch,Watch,Video,Instagram,Europe,Non-binary,45-54,3451.0,4.7,497.25,Out of Stock,1921551.0,39235.0,49147.0,2388.0,Fragrances,Sunday,1,4.723788231485919,1.2525996533795494,0.06086247323886227,0,0,0,1,0,1,1795.9450464754773
Louis Vuitton,Louis Vuitton Classic Watch,Watch,Video,Facebook,Asia,Non-binary,18-24,1436.0,1.9,3849.21,Pre-order,3173570.0,46389.0,13304.0,17604.0,Luxury Accessories,Wednesday,0,2.4356481817007345,0.28678594524682044,0.37947833584824314,0,1,0,0,1,0,452.48726197941124
Gucci,Gucci Chic Shoes,Shoes,Reel,Twitter,Europe,Non-binary,25-34,4688.0,3.6,1932.83,In Stock,6877430.0,322373.0,26378.0,17354.0,Footwear,Monday,0,5.323282098109323,0.08182421659314958,0.05383188470534224,0,0,0,1,1,0,681.6499768081973
Louis Vuitton,Louis Vuitton Elegant Belt,Belt,Story,Twitter,South America,Female,55+,2516.0,1.8,875.12,In Stock,2484899.0,380486.0,47773.0,1792.0,Footwear,Tuesday,0,17.306578657724117,0.12555750919216688,0.004709753552683798,0,0,0,0,0,0,1012.5160016564054
Louis Vuitton,Louis Vuitton Vintage Perfume,Perfume,Live,Instagram,Middle East,Non-binary,55+,1232.0,4.5,1292.38,Pre-order,3522118.0,497484.0,15317.0,16902.0,Eyewear,Sunday,1,15.039331447725488,0.030788868006070533,0.0339748937153884,0,0,0,0,0,1,349.7895300498166
Louis Vuitton,Louis Vuitton Elegant Sunglasses,Sunglasses,Reel,Facebook,South America,Non-binary,18-24,3237.0,3.4,3382.4,In Stock,7191929.0,142291.0,30257.0,5954.0,Luxury Accessories,Wednesday,0,2.4819766713492304,0.2126402046495938,0.041843533016613726,0,0,0,0,1,0,450.08786933241413
Louis Vuitton,Louis Vuitton Chic Handbag,Handbag,Story,Facebook,North America,Female,18-24,307.0,4.1,4211.18,Pre-order,5000130.0,179676.0,23250.0,18953.0,Eyewear,Thursday,0,4.437464625919726,0.12939886574241555,0.10548372913617213,1,1,0,1,1,1,61.39840364150532
Gucci,Gucci Modern Perfume,Perfume,Image,TikTok,South America,Non-binary,18-24,193.0,1.4,3175.04,Pre-order,2724961.0,670516.0,18285.0,4348.0,Luxury Accessories,Monday,0,25.4370246032879,0.027270002102854962,0.006484548490194879,0,0,0,0,1,0,70.8267017399515
Gucci,Gucci Bold Belt,Belt,Reel,YouTube,North America,Female,55+,1267.0,3.2,4197.8,In Stock,8071705.0,412641.0,11350.0,10889.0,Eyewear,Friday,0,5.387709288186325,0.027505682892192265,0.026388491719214233,0,1,0,1,0,0,156.96807551812165
Gucci,Gucci Chic Belt,Belt,Image,Instagram,North America,Non-binary,55+,696.0,4.7,3465.56,Pre-order,7869433.0,469701.0,25339.0,11453.0,Luxury Accessories,Thursday,0,6.436207030417567,0.05394697063244355,0.024383545311708273,0,0,0,1,0,1,88.44347489838214
Gucci,Gucci Modern Shoes,Shoes,Image,Facebook,Europe,Male,45-54,371.0,1.0,1420.73,In Stock,3142473.0,954586.0,31496.0,5408.0,Eyewear,Sunday,1,31.551265516044214,0.032994373482982696,0.00566527723507653,0,0,1,1,0,0,118.05988468317787
Gucci,Gucci Chic Handbag,Handbag,Reel,YouTube,Asia,Male,25-34,1191.0,4.0,2811.13,Out of Stock,473467.0,615914.0,47853.0,18285.0,Fragrances,Tuesday,0,144.0548126902192,0.0776941623438299,0.02968753805314045,1,0,1,0,1,1,2515.4868237913097
Gucci,Gucci Vintage Shoes,Shoes,Video,Facebook,North America,Female,45-54,2720.0,3.2,2195.72,In Stock,7049838.0,408396.0,38278.0,640.0,Eyewear,Thursday,0,6.345025233203941,0.09372742698893478,0.0015671025986968563,0,0,0,1,0,0,385.82446859062577
Gucci,Gucci Classic Handbag,Handbag,Live,TikTok,South America,Male,35-44,743.0,2.0,2599.61,Pre-order,5678780.0,976065.0,49391.7,1967.0,Luxury Accessories,Wednesday,0,18.092331451473733,0.0506028280874449,0.0020152325764856067,1,0,0,0,0,0,130.8379616748668
Louis Vuitton,Louis Vuitton Bold Belt,Belt,Live,Twitter,North America,Female,25-34,1278.0,1.2,3161.82,Pre-order,3833346.0,685884.0,24384.0,7785.0,Apparel,Tuesday,0,18.7317554950688,0.035551149245135846,0.01135029924841628,0,0,0,1,1,0,333.3902027106345
Gucci,Gucci Elegant Handbag,Handbag,Live,Instagram,Europe,Male,25-34,3615.0,3.9,4951.62,In Stock,5891854.0,579868.0,16676.0,4956.0,Apparel,Saturday,1,10.209010610242549,0.028758219528893594,0.008546757974645998,1,1,0,1,1,0,613.5589917876443
Gucci,Gucci Bold Belt,Belt,Video,Twitter,Asia,Male,35-44,3356.0,4.1,587.52,Out of Stock,9909383.0,341723.0,2172.0,1739.0,Apparel,Wednesday,0,3.4879467268547395,0.006356006601819012,0.005088902154955461,0,0,0,0,0,1,338.66891611717904
Gucci,Gucci Elegant Watch,Watch,Reel,TikTok,North America,Non-binary,45-54,2314.0,3.6,781.11,Out of Stock,4388737.0,885897.0,49391.7,8855.0,Luxury Accessories,Sunday,1,21.51287944572664,0.05575325827578344,0.009995507383468525,0,0,0,1,0,0,527.2587534864814
Gucci,Gucci Modern Shoes,Shoes,Image,YouTube,Middle East,Male,55+,775.0,2.1,2767.11,Out of Stock,3840991.0,990545.2000000001,26339.0,4756.0,Fragrances,Saturday,1,26.59834922810285,0.026590380135727135,0.004801391393960221,0,0,0,0,0,0,201.77084507617957
Gucci,Gucci Classic Perfume,Perfume,Story,YouTube,Asia,Female,18-24,4590.0,1.9,1855.88,In Stock,5251306.0,137344.0,48435.0,12024.0,Footwear,Sunday,1,3.766739169265702,0.3526520805271397,0.08754596090137974,0,0,0,0,1,0,874.0682793956399
Gucci,Gucci Modern Watch,Watch,Image,Facebook,Asia,Female,25-34,1529.0,3.4,943.26,Out of Stock,6508387.0,464283.0,44259.0,861.0,Eyewear,Saturday,1,7.826870159995096,0.09532742890127595,0.0018544683857294243,0,0,0,0,1,0,234.92764028936816
Gucci,Gucci Chic Watch,Watch,Reel,TikTok,Europe,Male,45-54,2358.0,1.3,343.14,Pre-order,3713476.0,474514.0,22835.0,3427.0,Apparel,Monday,0,13.485370580017214,0.04812282014267199,0.007222110997544861,0,0,0,1,0,0,634.9845804846996
Louis Vuitton,Louis Vuitton Classic Sunglasses,Sunglasses,Story,Instagram,Asia,Non-binary,25-34,1371.0,4.5,1412.87,Pre-order,7313983.0,886016.0,28496.0,13769.0,Luxury Accessories,Sunday,1,12.691867071607904,0.03216191111457229,0.015540333876212307,0,0,0,0,1,1,187.44916415583683
Gucci,Gucci Elegant Watch,Watch,Video,Instagram,South America,Female,35-44,1653.0,2.3,244.07,In Stock,6891795.0,458773.0,32969.0,6039.0,Apparel,Saturday,1,7.22280625004081,0.07186327036841669,0.013163344043036441,0,0,0,0,0,0,239.85043083841
Gucci,Gucci Chic Watch,Watch,Live,Instagram,Asia,Male,18-24,3822.0,4.0,3333.96,Pre-order,1332393.0,447494.0,20409.0,17845.0,Apparel,Sunday,1,36.45681116607488,0.04560721348841887,0.03987754053117912,0,0,1,0,1,1,2868.523025863991
Louis Vuitton,Louis Vuitton Classic Sunglasses,Sunglasses,Story,Instagram,Europe,Non-binary,45-54,2514.0,4.9,2794.83,Pre-order,1088655.0,521644.0,33778.0,11259.0,Apparel,Friday,0,52.05331349233687,0.06475284915986926,0.02158364404911386,0,0,1,1,0,1,2309.2715323036227
Gucci,Gucci Classic Belt,Belt,Reel,Twitter,North America,Non-binary,25-34,4915.0,3.1,3493.31,Out of Stock,5841302.0,979437.0,6436.0,11484.0,Footwear,Thursday,0,17.074224205493913,0.006571115272227542,0.01172509132788395,0,0,0,1,1,0,841.4219980408478
Gucci,Gucci Chic Perfume,Perfume,Image,YouTube,Middle East,Male,25-34,1546.0,3.1,601.72,Out of Stock,8002306.0,711094.0,23414.0,1953.0,Fragrances,Friday,0,9.203109703627929,0.032926683495172936,0.0027464684746763795,0,0,0,0,1,0,193.19431173964102
Gucci,Gucci Modern Sunglasses,Sunglasses,Reel,Facebook,Middle East,Female,45-54,3064.0,1.0,1855.62,Out of Stock,7476525.0,916771.0,36767.0,2870.0,Footwear,Saturday,1,12.792146083909303,0.040104846134044234,0.00313054936232782,0,0,0,0,0,0,409.81605759360133
Louis Vuitton,Louis Vuitton Chic Watch,Watch,Image,Twitter,South America,Female,35-44,2348.0,3.6,1104.84,Out of Stock,3662437.0,317600.0,48906.0,11024.0,Apparel,Sunday,1,10.308163662610442,0.1539856612542152,0.03471021816681937,0,0,0,0,0,0,641.1031780205366
Gucci,Gucci Chic Watch,Watch,Image,Facebook,South America,Non-binary,45-54,602.0,3.5,2769.17,In Stock,9321690.0,630289.0,43142.0,8227.0,Footwear,Thursday,0,7.312601041227502,0.06844785733551223,0.013052721762997986,0,0,0,0,0,0,64.58056425390674
Gucci,Gucci Vintage Handbag,Handbag,Video,Facebook,South America,Female,18-24,3525.0,1.2,939.33,Out of Stock,4566465.0,698576.0,10100.0,2883.0,Fragrances,Friday,0,15.582272063839314,0.01445796240070887,0.0041269609506181856,1,0,0,0,1,0,771.9318991824091
Gucci,Gucci Classic Sunglasses,Sunglasses,Video,YouTube,Asia,Non-binary,35-44,3735.0,3.9,2683.03,Out of Stock,4226136.0,820740.0,9061.0,3862.0,Luxury Accessories,Sunday,1,19.72636469815453,0.011040023588440202,0.00470550392876681,0,0,0,0,0,0,883.7860400138566
Louis Vuitton,Louis Vuitton Classic Sunglasses,Sunglasses,Video,Twitter,Europe,Male,45-54,2746.0,4.4,520.03,Out of Stock,2871471.0,808135.0,35217.0,1375.0,Luxury Accessories,Friday,0,29.41791855115375,0.04357806111842561,0.0017014462912183098,0,0,1,1,0,1,956.3042774940092
Louis Vuitton,Louis Vuitton Classic Shoes,Shoes,Story,Facebook,Middle East,Non-binary,25-34,1987.0,1.3,778.7,Out of Stock,3718936.0,301135.0,4442.0,12651.0,Fragrances,Sunday,1,8.55696360464391,0.014750810265129376,0.042010918654694224,0,0,0,0,1,0,534.2926041211788
Gucci,Gucci Bold Watch,Watch,Live,YouTube,South America,Female,35-44,2910.0,1.9,2229.76,Pre-order,4915298.0,331532.0,6981.0,5640.0,Fragrances,Wednesday,0,7.001671109259296,0.02105672738460425,0.017011881170200253,0,0,0,0,0,0,592.0292116571569
Louis Vuitton,Louis Vuitton Chic Belt,Belt,Live,Instagram,Asia,Female,55+,2775.0,2.7,1428.32,In Stock,2589490.0,447590.0,4016.0,8244.0,Footwear,Monday,0,17.75832306747661,0.00897247710521436,0.01841860091020597,0,0,0,0,0,0,1071.6395892627506
Gucci,Gucci Modern Perfume,Perfume,Reel,Twitter,Asia,Non-binary,18-24,1624.0,1.2,3267.98,In Stock,6767517.0,541400.0,20824.0,12498.0,Apparel,Thursday,0,8.492361378626754,0.03846317239901662,0.023084552854538504,0,0,0,0,1,0,239.9698441836201
Gucci,Gucci Elegant Watch,Watch,Live,YouTube,North America,Female,55+,585.0,3.5,4194.26,In Stock,9711338.0,212224.0,4090.0,18858.0,Fragrances,Monday,0,2.4216230554430296,0.019271999057603958,0.08885852279420427,0,1,0,1,0,0,60.23886718802291
Gucci,Gucci Classic Perfume,Perfume,Video,Facebook,Middle East,Male,35-44,1879.0,4.8,3993.17,In Stock,7733931.0,834270.0,10111.0,11911.0,Apparel,Monday,0,11.071885694351295,0.012119563067636296,0.014277135367284732,0,1,0,0,0,1,242.95536125160672
Louis Vuitton,Louis Vuitton Bold Handbag,Handbag,Reel,Instagram,Middle East,Male,35-44,46.0,2.3,2969.91,Out of Stock,7555269.0,152656.0,41754.0,6339.0,Luxury Accessories,Tuesday,0,2.657072832218151,0.27351513523782073,0.04152446333938175,1,0,0,0,0,0,6.088466208152218
Gucci,Gucci Vintage Handbag,Handbag,Image,Twitter,Middle East,Male,25-34,1685.0,1.3,4650.1,Out of Stock,8220877.0,721276.0,21292.0,14992.0,Footwear,Thursday,0,9.215075228591791,0.029519865460842367,0.020785357081953258,1,1,0,0,1,0,204.96596652644237
Gucci,Gucci Elegant Sunglasses,Sunglasses,Live,TikTok,Middle East,Non-binary,55+,1732.0,3.2,4023.04,Pre-order,9746096.0,829343.0,34689.0,4903.0,Apparel,Friday,0,8.915723793404046,0.04182703437897905,0.005911901454643671,0,1,0,0,0,0,177.71218342195687
Gucci,Gucci Vintage Belt,Belt,Story,Instagram,Asia,Female,18-24,2235.0,4.3,926.9,Pre-order,9121565.0,990545.2000000001,27773.0,13247.0,Apparel,Thursday,0,11.3090812815564,0.028038066270911946,0.013373429729981297,0,0,0,0,1,1,245.02374318442065
Louis Vuitton,Louis Vuitton Modern Belt,Belt,Story,TikTok,South America,Female,55+,56.0,4.0,2424.19,In Stock,3564701.0,147913.0,4817.0,3270.0,Apparel,Thursday,0,4.376243617627397,0.03256622091215165,0.02210744081020052,0,0,0,0,0,1,15.709592473534247
Gucci,Gucci Chic Perfume,Perfume,Story,Twitter,South America,Non-binary,18-24,2716.0,1.7,4441.75,In Stock,7954346.0,725666.0,20552.0,1928.0,Eyewear,Monday,0,9.40549983619018,0.028321530398929536,0.002656866028081751,0,1,0,0,1,0,341.44856157878974
